Periodo,Grupo,Producto,Super,Precio,Rango_Precio,Mes,Trimestre
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Devoto,80.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Devoto Express,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Disco,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Ta - Ta,95.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol marca propia envase 900 cc,Tienda Inglesa,97.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Devoto,119.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Devoto Express,123.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Disco,119.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,El Dorado,119.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Frog,130.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Kinko,132.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Red Expres,115.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Red Market,115.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Ta - Ta,121.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol río de la plata envase 900 cc,Tienda Inglesa,126.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,El Clon,85.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,El Dorado,89.9,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Macro,91.49,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Micro Macro,98.8,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Red Expres,85.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Red Market,87.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Ta - Ta,94.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol uruguay envase 900 cc,Tienda Inglesa,101.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Devoto,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Devoto Express,102.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Disco,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,El Clon,95.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,El Dorado,98.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Frog,123.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Kinko,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Macro,97.97,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Micro Macro,97.97,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Red Expres,105.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Red Market,100.5,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Ta - Ta,99.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de girasol óptimo envase 900 cc,Tienda Inglesa,102.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Devoto,129.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Devoto Express,133.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Disco,129.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,El Clon,105.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,El Dorado,129.9,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Macro,115.54,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Micro Macro,124.78,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Red Expres,121.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Red Market,105.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Ta - Ta,129.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz delicia envase 900 cc,Tienda Inglesa,140.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Devoto,139.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Devoto Express,143.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Disco,139.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,El Dorado,139.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Frog,135.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Kinko,145.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Red Expres,140.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Red Market,139.5,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Ta - Ta,143.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de maíz río de la plata envase 900 cc,Tienda Inglesa,145.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Devoto,75.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Devoto Express,77.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Disco,75.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,El Clon,68.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,El Dorado,69.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Red Expres,65.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Red Market,69.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Ta - Ta,74.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja condesa envase 900 cc,Tienda Inglesa,88.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Devoto,79.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Devoto Express,81.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Disco,79.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,El Clon,68.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,El Dorado,69.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Frog,90.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Kinko,90.0,Estándar,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Red Expres,69.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Red Market,74.45,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Ta - Ta,79.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,aceite de soja río de la plata envase 900 cc,Tienda Inglesa,80.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,agua de mesa con gas matutina envase 2 lt.,Devoto,61.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,agua de mesa con gas matutina envase 2 lt.,Devoto Express,63.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,agua de mesa con gas matutina envase 2 lt.,Disco,61.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,agua de mesa con gas matutina envase 2 lt.,El Clon,60.0,Económico,4,Q2 (Abr-Jun)
Abr25,Alimentos y bebidas,agua de mesa con gas matutina envase 2 lt.,El Dorado,61.0,Económico,4,Q2 (Abr-Jun)
